Generation;Game;Gym;Gym leader;Pokemon;Level;Move 1;Move 2;Move 3;Move 4
1;Red;Pewter City;Brock;Geodude;12;tackle;defense-curl;;
1;Red;Pewter City;Brock;Onix;14;tackle;screech;bide;
1;Red;Cerulean City;misty;Staryu;18;tackle;water-gun;;
1;Red;Cerulean City;misty;Starmie;21;tackle;water-gun;harden;bubble-beam
1;Red;Vermilion City;Lt. Surge;Voltorb;21;tackle;screech;sonic-boom;
1;Red;Vermilion City;Lt. Surge;Pikachu;18;thunder-shock;thunder-wave;growl;quick-attack
1;Red;Vermilion City;Lt. Surge;Raichu;24;thunderbolt;thunder-shock;thunder-wave;growl
1;Red;Celadon City;Erika;Victreebel;29;wrap;poison-powder;sleep-powder;razor-leaf
1;Red;Celadon City;Erika;Tangela;24;bind;constrict;;
1;Red;Celadon City;Erika;Vileplume;29;poison-powder;mega-drain;sleep-powder;petal-dance
1;Red;Fuchsia City;Koga;Koffing;37;tackle;smog;sludge;smokescreen
1;Red;Fuchsia City;Koga;Muk;39;disable;poison-gas;minimize;sludge
1;Red;Fuchsia City;Koga;Koffing;37;tackle;smog;sludge;smokescreen
1;Red;Fuchsia City;Koga;Weezing;43;smog;sludge;toxic;self-destruct
1;Red;Saffron City;Sabrina;Kadabra;38;disable;psybeam;recover;psychic
1;Red;Saffron City;Sabrina;Mr. Mime;37;confusion;barrier;light-screen;double-slap
1;Red;Saffron City;Sabrina;Venomoth;38;poison-powder;leech-life;stun-spore;psybeam
1;Red;Saffron City;Sabrina;Alakazam;43;psybeam;recover;psywave;reflect
1;Red;Cinnabar Island;Blaine;Growlithe;42;ember;leer;take-down;agility
1;Red;Cinnabar Island;Blaine;Ponyta;40;tail-whip;stomp;growl;fire-spin
1;Red;Cinnabar Island;Blaine;Rapidash;42;tail-whip;stomp;growl;fire-spin
1;Red;Cinnabar Island;Blaine;Arcanine;47;roar;ember;take-down;fire-blast
1;Red;Viridian City;Giovanni;Rhyhorn;45;stomp;tail-whip;fury-attack;horn-attack
1;Red;Viridian City;Giovanni;Dugtrio;42;growl;dig;sand-attack;slash
1;Red;Viridian City;Giovanni;Nidoqueen;44;scratch;tail-whip;poison-sting;body-slam
1;Red;Viridian City;Giovanni;Nidoking;45;tackle;horn-attack;poison-sting;thrash
1;Red;Viridian City;Giovanni;Rhydon;50;stomp;tail-whip;fissure;horn-drill
1;Red;Elite Four;Lorelei;Dewgong;54;growl;aurora-beam;rest;take-down
1;Red;Elite Four;Lorelei;Cloyster;53;supersonic;clamp;aurora-beam;spike-cannon
1;Red;Elite Four;Lorelei;Slowbro;54;water-gun;growl;withdraw;amnesia
1;Red;Elite Four;Lorelei;Jynx;56;double-slap;ice-punch;body-slam;thrash
1;Red;Elite Four;Lorelei;Lapras;56;body-slam;confuse-ray;hydro-pump;blizzard
1;Red;Elite Four;Bruno;Onix;53;rock-throw;rage;slam;harden
1;Red;Elite Four;Bruno;Hitmonchan;55;ice-punch;fire-punch;thunder-punch;counter
1;Red;Elite Four;Bruno;Hitmonlee;55;jump-kick;focus-energy;high-jump-kick;mega-kick
1;Red;Elite Four;Bruno;Onix;56;rock-throw;rage;slam;harden
1;Red;Elite Four;Bruno;Machamp;58;leer;focus-energy;fissure;submission
1;Red;Elite Four;Agatha;Gengar;56;confuse-ray;night-shade;hypnosis;dream-eater
1;Red;Elite Four;Agatha;Golbat;56;supersonic;confuse-ray;wing-attack;haze
1;Red;Elite Four;Agatha;Haunter;55;confuse-ray;night-shade;hypnosis;dream-eater
1;Red;Elite Four;Agatha;Arbok;58;bite;glare;screech;acid
1;Red;Elite Four;Agatha;Gengar;60;confuse-ray;night-shade;toxic;dream-eater
1;Red;Elite Four;Lance;Gyarados;58;hydro-pump;dragon-rage;leer;hyper-beam
1;Red;Elite Four;Lance;Dragonair;56;agility;slam;dragon-rage;hyper-beam
1;Red;Elite Four;Lance;Dragonair;56;agility;slam;dragon-rage;hyper-beam
1;Red;Elite Four;Lance;Aerodactyl;60;supersonic;take-down;bite;hyper-beam
1;Red;Elite Four;Lance;Dragonite;62;agility;slam;barrier;hyper-beam
1;Red;Elite Four;Champion Blue Squirtle;Pidgeot;61;wing-attack;mirror-move;sky-attack;whirlwind
1;Red;Elite Four;Champion Blue Squirtle;Alakazam;59;psybeam;psychic;reflect;recover
1;Red;Elite Four;Champion Blue Squirtle;Rhydon;61;leer;tail-whip;fury-attack;horn-drill
1;Red;Elite Four;Champion Blue Squirtle;Arcanine;63;roar;leer;ember;take-down
1;Red;Elite Four;Champion Blue Squirtle;Gyarados;61;dragon-rage;hydro-pump;hyper-beam;leer
1;Red;Elite Four;Champion Blue Squirtle;Venusaur;65;growth;mega-drain;razor-leaf;solar-beam
1;Red;Elite Four;Champion Blue Bulbasaur;Pidgeot;61;wing-attack;mirror-move;sky-attack;whirlwind
1;Red;Elite Four;Champion Blue Bulbasaur;Alakazam;59;psybeam;psychic;reflect;recover
1;Red;Elite Four;Champion Blue Bulbasaur;Rhydon;61;leer;tail-whip;fury-attack;horn-drill
1;Red;Elite Four;Champion Blue Bulbasaur;Gyarados;63;dragon-rage;hydro-pump;hyper-beam;leer
1;Red;Elite Four;Champion Blue Bulbasaur;Exeggutor;61;hypnosis;barrage;stomp;
